,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
41,2022-02-26,46.28998103174801,2.526560061451744,77.92140395966409,46.28998103174801,46.28998103174801,-6.292994690326181,-6.292994690326181,-6.292994690326181,-6.292994690326181,-6.292994690326181,-6.292994690326181,0.0,0.0,0.0,39.99698634142183
42,2022-02-27,46.32078612195834,1.6830604883671094,77.66055108023654,46.32078612195834,46.32078612195834,-7.993102339339887,-7.993102339339887,-7.993102339339887,-7.993102339339887,-7.993102339339887,-7.993102339339887,0.0,0.0,0.0,38.32768378261846
43,2022-02-28,46.351591212168685,18.518517745372552,94.2359454867842,46.351591212168685,46.351591212168685,9.237185694515869,9.237185694515869,9.237185694515869,9.237185694515869,9.237185694515869,9.237185694515869,0.0,0.0,0.0,55.58877690668456
44,2022-03-02,46.41320139415914,15.33982229407729,91.0229739069125,46.41320139415914,46.41320139415914,4.893647992148408,4.893647992148408,4.893647992148408,4.893647992148408,4.893647992148408,4.893647992148408,0.0,0.0,0.0,51.30684938630755
45,2022-03-03,46.44400648515437,11.833471637892194,86.37799216988992,46.44400648515437,46.44400648515437,2.2521705600363364,2.2521705600363364,2.2521705600363364,2.2521705600363364,2.2521705600363364,2.2521705600363364,0.0,0.0,0.0,48.6961770451907
46,2022-03-04,46.4748115761496,-3.815338379487219,74.78981838806118,46.4748115761496,46.4748115761496,-11.322762723411888,-11.322762723411888,-11.322762723411888,-11.322762723411888,-11.322762723411888,-11.322762723411888,0.0,0.0,0.0,35.15204885273771
47,2022-03-05,46.50561666714482,1.707011318290831,78.12368810183801,46.50561666714482,46.50561666714482,-6.292994690325345,-6.292994690325345,-6.292994690325345,-6.292994690325345,-6.292994690325345,-6.292994690325345,0.0,0.0,0.0,40.21262197681948
48,2022-03-06,46.53642175814005,0.5831226629889827,75.51713776601805,46.53642175814005,46.53642175814005,-7.993102339328835,-7.993102339328835,-7.993102339328835,-7.993102339328835,-7.993102339328835,-7.993102339328835,0.0,0.0,0.0,38.543319418811215
49,2022-03-07,46.56722684913529,18.22116531185103,94.36274178506508,46.56722684913529,46.56722684913529,9.237185694541282,9.237185694541282,9.237185694541282,9.237185694541282,9.237185694541282,9.237185694541282,0.0,0.0,0.0,55.80441254367657
50,2022-03-08,46.59803194013051,17.201805029853272,92.42955526719699,46.59803194013051,46.59803194013051,9.225855506377249,9.225855506377249,9.225855506377249,9.225855506377249,9.225855506377249,9.225855506377249,0.0,0.0,0.0,55.82388744650776
51,2022-03-09,46.62883703112574,10.997608449941783,91.33848527950305,46.62883703112574,46.62883703112574,4.893647992161162,4.893647992161162,4.893647992161162,4.893647992161162,4.893647992161162,4.893647992161162,0.0,0.0,0.0,51.522485023286904
52,2022-03-10,46.65964212212097,12.101356835992409,88.60414148050869,46.65964212212097,46.65964212212097,2.2521705600368738,2.2521705600368738,2.2521705600368738,2.2521705600368738,2.2521705600368738,2.2521705600368738,0.0,0.0,0.0,48.911812682157844
53,2022-03-11,46.6904472131162,-3.4596761165805705,72.84499289231181,46.6904472131162,46.6904472131162,-11.322762723432833,-11.322762723432833,-11.322762723432833,-11.322762723432833,-11.322762723432833,-11.322762723432833,0.0,0.0,0.0,35.36768448968337
54,2022-03-12,46.72125230411143,1.6780576007596666,80.76280288988359,46.72125230411143,46.72125230411143,-6.292994690324078,-6.292994690324078,-6.292994690324078,-6.292994690324078,-6.292994690324078,-6.292994690324078,0.0,0.0,0.0,40.42825761378735
55,2022-03-13,46.75205739727173,-0.2944887862240624,78.71593073132922,46.75205739727173,46.75205739727173,-7.993102339331816,-7.993102339331816,-7.993102339331816,-7.993102339331816,-7.993102339331816,-7.993102339331816,0.0,0.0,0.0,38.758955057939914
56,2022-03-14,46.782862490432024,17.906143383780456,95.32071528814923,46.782862490432024,46.782862490432024,9.237185694507632,9.237185694507632,9.237185694507632,9.237185694507632,9.237185694507632,9.237185694507632,0.0,0.0,0.0,56.020048184939654
57,2022-03-15,46.81366758359232,18.137338161218306,94.92040543841348,46.81366758359232,46.81366758359232,9.225855506352527,9.225855506352527,9.225855506352527,9.225855506352527,9.225855506352527,9.225855506352527,0.0,0.0,0.0,56.03952308994485
58,2022-03-16,46.84447267675262,16.4434994609564,91.53156131497917,46.84447267675262,46.84447267675262,4.89364799214983,4.89364799214983,4.89364799214983,4.89364799214983,4.89364799214983,4.89364799214983,0.0,0.0,0.0,51.738120668902454
59,2022-03-17,46.87527776991292,11.687951153941587,85.93403602659993,46.87527776991292,46.87527776991292,2.2521705600374102,2.2521705600374102,2.2521705600374102,2.2521705600374102,2.2521705600374102,2.2521705600374102,0.0,0.0,0.0,49.12744832995033
